,Neighborhood,Sex Offences,Assaults,Robbery,Break & Enter,Auto Theft,Other Theft,Offensive Weapons
50,SPVM 55.0,0.001021972406745018,0.0021092278719397365,0.0,0.00014297969688304262,0.0,0.006281670086687047,0.18313953488372092
51,SPVM 12.0,0.016862544711292796,0.01664783427495292,0.022203602848764138,0.02287675150128682,0.009719972228650776,0.028267515390091712,0.011627906976744186
52,SPVM 15.0,0.04292284108329075,0.044218455743879476,0.03728529534981148,0.04904203603088361,0.020134228187919462,0.03341848486117509,0.046511627906976744
53,SPVM 16.0,0.021972406745017884,0.031261770244821095,0.025555090071219103,0.031598513011152414,0.014811386253182134,0.020938900288956824,0.01744186046511628
54,SPVM 20.0,0.041389882473173226,0.03954802259887006,0.040636782572266446,0.03574492422076065,0.023142791020597082,0.11252565015285397,0.046511627906976744
55,SPVM 21.0,0.0403679100664282,0.05340866290018832,0.06702974444909929,0.035458964826994566,0.02823420504512844,0.09811968675405168,0.07267441860465117
56,SPVM 22.0,0.03321410321921308,0.029227871939736347,0.036447423544197735,0.03831855876465542,0.01943994445730155,0.03408852967042171,0.023255813953488372
57,SPVM 50.0,0.02401635155850792,0.021544256120527308,0.019689987431922917,0.002573634543894767,0.0,0.007244859499979061,0.0029069767441860465
58,SPVM 10.0,0.015840572304547777,0.01702448210922787,0.02346041055718475,0.01758650271661424,0.038185605183985186,0.01892876586121697,0.005813953488372093
59,SPVM 27.0,0.03372508942258559,0.028323917137476458,0.025555090071219103,0.03174149270803546,0.045591298310576255,0.028728171196448764,0.02616279069767442
60,SPVM 30.0,0.0342360756259581,0.03088512241054614,0.03058232090490155,0.018730340291678582,0.036797037722749365,0.02433100213576783,0.0436046511627907
61,SPVM 31.0,0.01788451711803781,0.022598870056497175,0.028906577293674067,0.03560194452387761,0.03193705160842398,0.019473177268729845,0.02616279069767442
62,SPVM 33.0,0.016862544711292796,0.019962335216572504,0.018433179723502304,0.008578781812982557,0.01712566535524184,0.008919971523095607,0.011627906976744186
63,SPVM 35.0,0.020950434338272865,0.020188323917137478,0.02932551319648094,0.051329711181012296,0.025457070122656793,0.02927258260396164,0.0
64,SPVM 38.0,0.06182933060807358,0.06531073446327684,0.08127356514453289,0.10923648841864456,0.03563989817171951,0.08480254617027513,0.03488372093023256
65,SPVM 44.0,0.04241185487991824,0.03954802259887006,0.03770423125261835,0.04475264512439234,0.028697060865540386,0.036433686502784876,0.029069767441860465
66,SPVM 23.0,0.036791006642820645,0.027871939736346517,0.03519061583577713,0.035458964826994566,0.0222170793797732,0.027932492985468405,0.029069767441860465
67,SPVM 39.0,0.05518650996423097,0.07563088512241055,0.05236698785085882,0.04432370603374321,0.07104836843323305,0.0312827170317015,0.08430232558139535
68,SPVM 42.0,0.025549310168625446,0.03465160075329567,0.032677000418935905,0.027023162710895055,0.06757694978014349,0.03295782905481804,0.040697674418604654
69,SPVM 45.0,0.021461420541645376,0.019887005649717515,0.02094679514034353,0.015012868172719475,0.03587132608192548,0.013191507182042799,0.020348837209302327
